factor,symbol,quantile,horizon,n,mean,median,win_rate,max_adverse_excursion,max_favorable_excursion,tail_loss_p05,evidence_type
roll_yield_research,RB,5,10,123,0.0031250158666961776,0.012671879212725834,0.6178861788617886,-0.02494539965947447,0.02886438225876127,-0.08430632295870569,local_evidence
roll_yield_research,RB,5,20,123,0.013768792864334713,0.02572416774751396,0.6422764227642277,-0.0347449585093978,0.04757467436561413,-0.15532919553526128,local_evidence
roll_yield_research,RB,5,40,123,0.032943675246294706,0.058103104528624216,0.6422764227642277,-0.05269323776342525,0.08003904047592261,-0.14719082773693679,local_evidence
roll_yield_research,SI,1,1,313,-0.000708519617018699,0.0,0.4984025559105431,-0.000708519617018699,-0.000708519617018699,-0.034196866201641085,local_evidence
roll_yield_research,SI,1,5,311,-0.004626199247287016,-0.005872756933115841,0.4212218649517685,-0.021308150330166992,0.01787076168550989,-0.06387412293545502,local_evidence
roll_yield_research,SI,1,10,311,-0.012366235377817315,-0.009495982468955444,0.41479099678456594,-0.03775378650187956,0.027914848119900536,-0.09701340326340324,local_evidence
roll_yield_research,SI,1,20,309,-0.027658929203141,-0.025983951089033286,0.34951456310679613,-0.06710717792120374,0.0447156537671402,-0.15320327020809235,local_evidence
roll_yield_research,SI,1,40,304,-0.05490858190844301,-0.056461665991280274,0.3059210526315789,-0.11304515349574483,0.061840773391982594,-0.22907205422186339,local_evidence
roll_yield_research,SI,2,1,185,-0.0034171023249574047,-0.0019102196752626144,0.42702702702702705,-0.0034171023249574047,-0.0034171023249574047,-0.03697270074956092,local_evidence
roll_yield_research,SI,2,5,184,-0.015232618657194255,-0.0148306792121225,0.30434782608695654,-0.030980558475662646,0.01175340028030303,-0.07790640656646412,local_evidence
roll_yield_research,SI,2,10,179,-0.029432020950255867,-0.03301886792452835,0.2737430167597765,-0.055483598231017756,0.02227635574269633,-0.12725816957985014,local_evidence
roll_yield_research,SI,2,20,174,-0.0458429692096172,-0.052069378992455895,0.25287356321839083,-0.08507248622572601,0.03308497485029729,-0.18481113113943431,local_evidence
roll_yield_research,SI,2,40,166,-0.08541668322912765,-0.08983904550743654,0.1686746987951807,-0.13139824818647966,0.042315088850078134,-0.21811148865782146,local_evidence
roll_yield_research,SI,3,1,157,-0.0026827561295029102,-0.0025553662691651935,0.445859872611465,-0.0026827561295029102,-0.0026827561295029102,-0.05883222468588318,local_evidence
roll_yield_research,SI,3,5,157,-0.02066321746088606,-0.018731988472622474,0.3248407643312102,-0.043842001094301086,0.020667903328327512,-0.12801047202990207,local_evidence
roll_yield_research,SI,3,10,157,-0.03837793594277295,-0.03913630229419707,0.3057324840764331,-0.07567652994742172,0.0337121640004482,-0.17949046328982296,local_evidence
roll_yield_research,SI,3,20,155,-0.06386134784320668,-0.07582139848357206,0.25806451612903225,-0.11831212600946533,0.04903446636269106,-0.25726358579375264,local_evidence
roll_yield_research,SI,3,40,150,-0.0825166632581341,-0.106708540715299,0.18666666666666668,-0.1850595883166721,0.09169828587765402,-0.39358477029266964,local_evidence
roll_yield_research,SI,4,1,136,-0.0011906703017566563,-0.004377148824104948,0.4117647058823529,-0.0011906703017566563,-0.0011906703017566563,-0.04488530620685152,local_evidence
roll_yield_research,SI,4,5,135,0.005315244445850617,-0.004452926208651453,0.45925925925925926,-0.031797703016091035,0.03481382967774192,-0.10588481377685717,local_evidence
roll_yield_research,SI,4,10,135,-0.009675424640588725,-0.01781170483460559,0.37777777777777777,-0.05242136643498269,0.049119969978494674,-0.14949929383495553,local_evidence
roll_yield_research,SI,4,20,134,-0.013819573585653193,-0.0493472853125676,0.291044776119403,-0.08849574961967378,0.08256473771791434,-0.18807912682789654,local_evidence
roll_yield_research,SI,4,40,132,-0.06018583440622814,-0.08539668908926101,0.25,-0.1434162178721656,0.11642078240843691,-0.34062828442072923,local_evidence
roll_yield_research,SI,5,1,87,0.0014460984902292223,-0.0024999999999999467,0.45977011494252873,0.0014460984902292223,0.0014460984902292223,-0.05563698643777513,local_evidence
roll_yield_research,SI,5,5,87,-0.0004555859311255519,-0.01097560975609757,0.40229885057471265,-0.033620741763018595,0.03171819250813182,-0.10903060242509786,local_evidence
roll_yield_research,SI,5,10,87,0.035353439025610466,0.0031989763275752647,0.5057471264367817,-0.0471614050411263,0.07890850160612288,-0.13581081081081084,local_evidence
roll_yield_research,SI,5,20,87,0.02471023926703547,-0.0025789813023855412,0.4942528735632184,-0.06864589460263595,0.1253986163203311,-0.14654645669291336,local_evidence
roll_yield_research,SI,5,40,87,-0.02366357104040214,-0.04461538461538461,0.3448275862068966,-0.11710845891852842,0.16133886251112803,-0.2651647480980015,local_evidence
oi_change_pct,HC,1,1,288,0.0006110515393476574,0.0002228717301799854,0.5069444444444444,0.0006110515393476574,0.0006110515393476574,-0.0189086695385518,local_evidence
oi_change_pct,HC,1,5,286,-0.0005363176245053707,-0.0007577240558455101,0.479020979020979,-0.012113026614931539,0.012211501016822982,-0.05035817845912907,local_evidence
oi_change_pct,HC,1,10,281,0.0028620927247175786,-0.00020546537908361362,0.498220640569395,-0.020060841856344366,0.021084767607735824,-0.0514092446448704,local_evidence
oi_change_pct,HC,1,20,275,0.00602297703541809,-0.0009107468123861207,0.49454545454545457,-0.030905477477096342,0.03562324769506351,-0.07781037167519912,local_evidence
oi_change_pct,HC,1,40,271,0.010277591335492723,0.0010792143319662273,0.5018450184501845,-0.04479886868274287,0.057384012669696345,-0.11174350714567904,local_evidence
oi_change_pct,HC,2,1,333,0.0001980458649288263,-0.00022532672374941942,0.4894894894894895,0.0001980458649288263,0.0001980458649288263,-0.01691493621186735,local_evidence
oi_change_pct,HC,2,5,333,0.0009611616437471478,0.0008607333448098498,0.5225225225225225,-0.010154671047738692,0.011263656248033995,-0.03423033919180984,local_evidence
oi_change_pct,HC,2,10,333,0.00016827300799036402,-0.00041416442327602,0.4954954954954955,-0.01868053665688037,0.019567712264021427,-0.05860607226601622,local_evidence
oi_change_pct,HC,2,20,331,0.0017432639900309683,-0.0009231479344564697,0.486404833836858,-0.029052585298801573,0.03113349789646866,-0.07417703320201663,local_evidence
oi_change_pct,HC,2,40,325,0.00715395004573762,-0.0006970260223048141,0.48923076923076925,-0.04541709442543446,0.05150283084412263,-0.11958834414731866,local_evidence
oi_change_pct,HC,3,1,357,4.801742520706481e-05,0.00019868865487771004,0.5042016806722689,4.801742520706481e-05,4.801742520706481e-05,-0.01623052159107714,local_evidence
oi_change_pct,HC,3,5,357,0.003243606770256965,0.001565864161283903,0.5518207282913166,-0.008531373759999739,0.01164741326049155,-0.02710697910199422,local_evidence
oi_change_pct,HC,3,10,357,0.005074128855667492,0.0029440628066732533,0.5574229691876751,-0.01428704950369183,0.020121067784067102,-0.03923546724790567,local_evidence
oi_change_pct,HC,3,20,355,0.007059520447274251,0.002786162061759967,0.5605633802816902,-0.023164253927178163,0.0323056920102961,-0.06475048316966121,local_evidence
oi_change_pct,HC,3,40,354,0.011005588519150376,0.004054555198876764,0.5338983050847458,-0.03623525549727838,0.05014460053698021,-0.09616516065120831,local_evidence
oi_change_pct,HC,4,1,335,0.0012147867234023957,0.0006931608133087241,0.5432835820895522,0.0012147867234023957,0.0012147867234023957,-0.014060894311613014,local_evidence
oi_change_pct,HC,4,5,335,0.00018307033353136233,0.0005913660555885158,0.5164179104477612,-0.01045703108235172,0.011690560827829741,-0.03829948048717487,local_evidence
oi_change_pct,HC,4,10,335,-5.8414961268470625e-05,-0.001255230125522977,0.4746268656716418,-0.01822782148538023,0.01894947093586538,-0.046616746436107206,local_evidence
oi_change_pct,HC,4,20,335,0.003489298067242357,0.0007286859363613285,0.5194029850746269,-0.02764969903810825,0.02976962988044299,-0.07603531181439707,local_evidence
oi_change_pct,HC,4,40,328,0.004823602668556528,0.0012734335416314524,0.5152439024390244,-0.044096832412171875,0.04784165981209157,-0.1110736829165308,local_evidence
oi_change_pct,HC,5,1,285,-0.001008244134826806,0.0,0.4982456140350877,-0.001008244134826806,-0.001008244134826806,-0.022397286176461372,local_evidence
oi_change_pct,HC,5,5,283,0.0016769258063096808,0.002798507462686617,0.5441696113074205,-0.011878423102871266,0.012089563723326117,-0.045242463893241845,local_evidence
oi_change_pct,HC,5,10,283,0.0033789716749517136,0.0030097817908201208,0.5265017667844523,-0.019013691803926182,0.022801552170749317,-0.05030851628936445,local_evidence
oi_change_pct,HC,5,20,283,0.003071306215863821,0.000840477391158112,0.5123674911660777,-0.031002647004011542,0.038453155552949835,-0.08982010969507538,local_evidence
oi_change_pct,HC,5,40,281,0.011240285158264956,0.000810044552450373,0.5124555160142349,-0.046971283374298,0.06265938423832886,-0.12181069958847734,local_evidence
oi_change_pct,I,1,1,277,-0.0007192575016108832,0.0,0.49458483754512633,-0.0007192575016108832,-0.0007192575016108832,-0.024733400276381,local_evidence
