condition,symbol,horizon,n,mean,median,win_rate,tail_loss_p05,evidence_type
HIGH_PRICE_CVAR_HIGH,JM,20,152,0.01345198589701351,0.013371196480437608,0.5328947368421053,-0.29950929806131776,local_evidence
HIGH_PRICE_CVAR_HIGH,JM,40,152,0.014390971758215144,-0.06943270382795941,0.34210526315789475,-0.333415012065234,local_evidence
HIGH_PRICE_CVAR_HIGH,LC,1,91,0.005939982427338076,0.006131386861313759,0.5384615384615384,-0.09650997247569593,local_evidence
HIGH_PRICE_CVAR_HIGH,LC,5,91,0.029056907392391435,0.022727272727272707,0.5714285714285714,-0.12284491269070258,local_evidence
HIGH_PRICE_CVAR_HIGH,LC,10,91,0.053268974786428246,0.042386185243328045,0.6043956043956044,-0.15489312897274593,local_evidence
HIGH_PRICE_CVAR_HIGH,LC,20,91,0.11271869594781991,0.04649077868852469,0.5934065934065934,-0.18163436553091822,local_evidence
HIGH_PRICE_CVAR_HIGH,LC,40,91,0.22536250414190453,0.054125412541254025,0.6263736263736264,-0.2203264684353517,local_evidence
HIGH_PRICE_CVAR_HIGH,PS,1,14,-0.002774803790024665,-0.0025207385163252827,0.35714285714285715,-0.018127456195537177,local_evidence
HIGH_PRICE_CVAR_HIGH,PS,5,14,-0.019358602134712917,-0.021787146099136567,0.2857142857142857,-0.0514722589752884,local_evidence
HIGH_PRICE_CVAR_HIGH,PS,10,14,-0.023371513414384076,-0.039778756792344105,0.14285714285714285,-0.08294845203751737,local_evidence
HIGH_PRICE_CVAR_HIGH,PS,20,14,-0.06712525299202804,-0.051013728377706735,0.07142857142857142,-0.15510874298731211,local_evidence
HIGH_PRICE_CVAR_HIGH,PS,40,14,-0.08280438861659153,-0.050832524283204616,0.14285714285714285,-0.21176891087777194,local_evidence
HIGH_PRICE_CVAR_HIGH,RB,1,34,-0.0024912266629190595,0.001899397174870865,0.5588235294117647,-0.03232213873135287,local_evidence
HIGH_PRICE_CVAR_HIGH,RB,5,34,-0.013632688572117318,-0.008114507102884194,0.4117647058823529,-0.06283838063936376,local_evidence
HIGH_PRICE_CVAR_HIGH,RB,10,34,-0.028450288263644683,-0.025998469403538893,0.29411764705882354,-0.13071721791052326,local_evidence
HIGH_PRICE_CVAR_HIGH,RB,20,34,-0.07827983749345013,-0.07489293719148366,0.029411764705882353,-0.25027073638135927,local_evidence
HIGH_PRICE_CVAR_HIGH,RB,40,34,-0.06271862281641111,-0.042086315499738736,0.08823529411764706,-0.18847205236878886,local_evidence
HIGH_PRICE_CVAR_HIGH,SI,1,1,-0.07572115384615385,-0.07572115384615385,0.0,-0.07572115384615385,local_evidence
HIGH_PRICE_CVAR_HIGH,SI,5,1,-0.08894230769230771,-0.08894230769230771,0.0,-0.08894230769230771,local_evidence
HIGH_PRICE_CVAR_HIGH,SI,10,1,-0.11298076923076927,-0.11298076923076927,0.0,-0.11298076923076927,local_evidence
HIGH_PRICE_CVAR_HIGH,SI,20,1,-0.203125,-0.203125,0.0,-0.203125,local_evidence
HIGH_PRICE_CVAR_HIGH,SI,40,1,-0.17067307692307687,-0.17067307692307687,0.0,-0.17067307692307687,local_evidence
HIGH_PRICE_OI_DECLINE,HC,1,165,0.0009768678763841603,0.0008317737575378459,0.5454545454545454,-0.02007833419377047,local_evidence
HIGH_PRICE_OI_DECLINE,HC,5,165,0.00649692074232643,0.0053881949546901176,0.5757575757575758,-0.033234845257925055,local_evidence
HIGH_PRICE_OI_DECLINE,HC,10,165,0.009724835193659458,0.01344743276283622,0.6303030303030303,-0.05545409825439378,local_evidence
